Storyline,Priority,Lead_Paper_or_Trial,Year,Evidence_Tier,Key_Result,DOI,PMID,Journal,Full_Title,Lead_Authors,Notes
1. ADC revolution (pre-2025),1,EMBRACA,2018,Tier 1,Talazoparib vs chemo in gBRCA-mutated mTNBC: PFS 8.6 vs 5.6 mo,10.1056/NEJMoa1802905,30110579,N Engl J Med,Talazoparib in Patients with Advanced Breast Cancer and a Germline BRCA Mutation,Litton JK; Rugo HS; Ettl J; et al,FDA-approved; gBRCA subset only
1. ADC revolution (controversy),1,IMpassion130,2018,Tier 1,Atezolizumab + nab-paclitaxel: PFS benefit in PD-L1+ mTNBC,10.1056/NEJMoa1809615,30345906,N Engl J Med,Atezolizumab and Nab-Paclitaxel in Advanced Triple-Negative Breast Cancer,Schmid P; Adams S; Rugo HS; et al,Initial promise; IMpassion131 later failed — chemo backbone effect
1. ADC revolution (controversy),1,IMpassion131 failure,2021,Tier 1,Atezolizumab + paclitaxel FAILED in PD-L1+ mTNBC — same drug different chemo backbone,10.1016/S0923-7534(21)02026-3,34219000,Ann Oncol,Primary results from IMpassion131,Miles D; Gligorov J; André F; et al,Chemo backbone matters; nab-paclitaxel may have immunogenic properties
1. ADC revolution (neoadjuvant frontier),3,NeoSTAR (SG neoadjuvant),2024/2025,Tier 3,"Neoadjuvant SG alone: 30% pCR without chemo; SG + pembro (Arm A2): pCR 34%; Ki-67 and TILs predictive of pCR; TROP-2 expression NOT predictive",10.1016/j.annonc.2023.11.018 / 10.1200/JCO.2025.43.16_suppl.511,38092228,Ann Oncol / J Clin Oncol,Response-guided neoadjuvant SG for localized TNBC: NeoSTAR trial,Abelman RO; Spring LM; et al,"Phase 2; NCT04230109; TROP-2 non-predictive is a key finding"
1. ADC revolution (neoadjuvant frontier),3,TROPION-Breast03,ongoing,Tier 3,"Dato-DXd ± durvalumab vs ICT in stage I-III TNBC with residual disease post-neoadjuvant; primary endpoint: iDFS",pending,38686016,Ther Adv Med Oncol,TROPION-Breast03: Dato-DXd ± durvalumab in TNBC with residual disease,Bardia A; Pusztai L; Albain K; et al,"Phase 3; NCT05629585; results expected 2026-2027"
1. ADC revolution (pipeline),3,Emiltatug ledadotin (Emi-Le / XMT-1660),2025,Tier 3,"B7-H4-directed ADC; ORR 23% in B7-H4-high TNBC (phase 1 n=130 heavily pretreated); FDA fast-tracked for TNBC; non-topo-I payload (Dolaflexin auristatin)",pending,pending,ESMO Breast Cancer 2025 (Abstract 298MO),Emiltatug ledadotin in locally advanced or metastatic TNBC,pending,"Novel target (B7-H4); may bypass TROP-2 ADC resistance; NCT05377996"
1. ADC revolution (pipeline),3,DB-1305/BNT325,2025,Tier 3,"Next-gen TROP-2 ADC; phase 1/2 in pretreated TNBC (n=26); grade >=3 TRAEs 34.6%; early activity",pending,pending,Ann Oncol 2025;36:439 (Abstract 557P),First clinical data of DB-1305/BNT325 in pretreated TNBC,Hamilton E; Yang H; Shi J; et al,"BioNTech/DualityBio; NCT05438329; ESMO 2025"
1. ADC revolution (resistance),4,ADC resistance review 2025,2025,Tier 4,"TROP-2 downregulation/loss; MDR transporter upregulation; topo-I mutations; cross-resistance between topo-I ADCs unresolved",10.20517/cdr.2025.148,pending,Cancer Drug Resist,Mechanisms of resistance to antibody-drug conjugates in cancer therapy,pending,Comprehensive review of ADC resistance mechanisms
1. ADC revolution (biomarker),4,ASCENT biomarker analysis,2021,Tier 4,"SG benefit regardless of TROP-2 expression; greater efficacy in medium/high TROP-2; TROP-2 not a required companion diagnostic",10.1016/j.annonc.2021.07.005,pending,Ann Oncol,Biomarker analyses in the phase III ASCENT study of SG vs chemo in mTNBC,Bardia A; Tolaney SM; Punie K; et al,"TROP-2 is NOT a validated predictive biomarker"
1. ADC revolution (controversy),3,MEDIOLA,2020,Tier 3,Durvalumab + olaparib: ORR 63.3% in gBRCA-mutated TNBC; mPFS 4.9 mo,10.1200/JCO.2020.38.15_suppl.1019,pending,J Clin Oncol (abstract),Olaparib and Durvalumab in gBRCA-Mutated Metastatic Breast Cancer (MEDIOLA),Domchek SM; et al,"Phase 1/2 basket; promising but small; NCT02734004"
2. Ligand density & multivalent targeting,4,Deci et al. Precision Engineering,2018,Tier 4,"Threshold avidity: minimum ~9 ligands on PAMAM dendrimer NPs for high-avidity interactions; below threshold avidity approaches single-ligand affinity",10.1002/wnan.1511,29436157,WIREs Nanomed Nanobiotechnol,Precision Engineering of Targeted Nanocarriers,Deci MB; Liu M; Dinh QT; Nguyen J,"Quantifiable design rule; preclinical only; PMCID: PMC6089677"
2. Ligand density & multivalent targeting,4,Wang et al. ACS Nano 2020,2020,Tier 4,"Receptor-density stratification: multivalent NPs categorize breast cancer as ErbB2-low/medium/high with different expected responses",10.1021/acsnano.9b05689,31899613,ACS Nano,Quantitative Study of the Interaction of Multivalent Ligand-Modified Nanoparticles with Breast Cancer Cells with Tunable Receptor Density,Wang J; Min J; Eghtesadi SA; Kane RS; Chilkoti A,"Receptor-density-based patient stratification concept; preclinical only"
2. Ligand density & multivalent targeting,4,Haun & Hammer PNAS 2013,2013,Tier 4,"Non-equilibrium selectivity amplification: multivalent NPs with low-affinity ligands achieve higher specificity under flow conditions",10.1073/pnas.1006611107,pending,PNAS,Computational model for nanocarrier binding to endothelium,Haun JB; Hammer DA,"Design principle for vascular-targeted delivery; PMCID: PMC3694107"
2. Ligand density & multivalent targeting,4,Nano Convergence 2021,2021,Tier 4,"Reducing ligand density of high-affinity interactions: NPs bound MCF-7/LNCaP/SK-OV-3 but NOT MDA-MB-231 (TNBC); TNBC receptor landscape requires different density tuning",10.1186/s40580-021-00288-1,pending,Nano Convergence,Quantifying and controlling bond multivalency for advanced nanoparticle targeting to cells,pending,"TNBC-specific density tuning needed; preclinical only"
2. Ligand density & multivalent targeting,4,Woythe et al. ACS Nano 2022,2022,Tier 4,"Single-molecule force spectroscopy and single-cell receptor counting enable rational design at single-cell/single-molecule level",10.1021/acsnano.1c08277,35274534,ACS Nano,A Single-Molecule View at Nanoparticle Targeting Selectivity,Woythe L; Madhikar P; Feiner-Gracia N; Storm C; Albertazzi L,"New experimental methods for rational design; PMCID: PMC8945370"
3. Nanocarrier translation gap,4,Hajimolaali et al. J Liposome Res 2024,2024,Tier 4,"Systematic review of preclinical ligand-targeted liposome approaches for TNBC; no clinical approval",10.1080/08982104.2024.2325963,38520185,J Liposome Res,Review of ligand-targeted liposomes in TNBC therapy,Hajimolaali M; Dorkoosh FA; Antimisiaris SG,Translation gap highlighted
3. Nanocarrier translation gap,4,Cao et al. WIREs 2024,2024,Tier 4,"Comprehensive review of TME-responsive NP systems for TNBC; all preclinical",10.1002/wnan.1950,38528388,WIREs Nanomed Nanobiotechnol,NP drug delivery systems responsive to TME in TNBC,Cao Y; Meng F; Cai T; et al,"Conceptually rich; clinically absent"
3. Nanocarrier translation gap,3,EndoTAG-1 phase II,2014,Tier 3,"Paclitaxel in cationic liposomes targeting tumor endothelial cells in TNBC; phase II only; not approved",10.1093/annonc/mdu018,24667715,Ann Oncol,A randomized controlled phase II trial of EndoTAG-1 in advanced TNBC,Awada A; Bondarenko IN; et al,"Only TNBC-specific liposome trial with published results; not approved"
3. Nanocarrier translation gap,4,Zheng et al. BioIntegration 2021,2021,Tier 4,"<5% of nanoscale therapeutics entering phase I obtain approval",10.15212/bioi-2021-0016,pending,BioIntegration,Challenges and Opportunities of Nanomedicines in Clinical Translation,Zheng C; Li M; Ding J,"Quantifiable translation failure rate"
3. Nanocarrier translation gap,4,ACS Pharmacol Transl Sci 2024,2024,Tier 4,"Cell line models do not represent patient tumors; PDX models show different NP uptake profiles",10.1021/acsptsci.4c00597,pending,ACS Pharmacol Transl Sci,Nanoparticle-Mediated mRNA Delivery to TNBC PDX Tumors,pending,"Preclinical-to-clinical inconsistency documented"
3. Nanocarrier translation gap,4,ACS Appl Mater Interfaces 2025,2025,Tier 4,"Key nanocarriers evaluated; translational challenges in clinical deployment",10.1021/acsami.5c07366,pending,ACS Appl Mater Interfaces,The Nanocarrier Landscape — Evaluating Key Drug Delivery Vehicles: A Translational Perspective,pending,"Regulatory and manufacturing barriers documented"
3. Nanocarrier translation gap,4,Discover Nano 2024 (CSC-targeting),2024,Tier 4,"Review of NP approaches targeting CD44+/CD24-/ALDH1+ CSCs in TNBC; all preclinical",10.1186/s11671-024-03985-y,pending,Discover Nano,Targeting triple negative breast cancer stem cells using nanocarriers,pending,"Prognostic markers validated but no approved therapy"
3. Nanocarrier translation gap,4,Pharmaceutics 2025 LNP review,2025,Tier 4,"Translational advances in lipid nanoparticle drug delivery for cancer; numerous investigational agents targeting TNBC",10.3390/pharmaceutics17101315,pending,Pharmaceutics,Translational Advances in Lipid Nanoparticle Drug Delivery Systems for Cancer Therapy,pending,"Comprehensive LNP translational review"
4. CSCs & TME (secondary),4,PMC9476834 CSC markers,2022,Tier 4,"CD44/CD24 and ALDH1 in BCSC phenotype are prognostic indicators for TNBC; associated with poor DFS and OS",10.3390/cancers14163932,pending,Cancers,CD44+/CD24- and ALDH Enzyme Markers as Prognostic Indicators for TNBC,pending,"Prognostically relevant; no approved CSC-targeted therapy; PMCID: PMC9476834"
4. CSCs & TME (secondary),4,Frontiers Immunol 2024 TME subtyping,2024,Tier 4,"Analysis and subtyping of immune microenvironment; PD-L1 alone does not capture complexity of immune evasion",10.3389/fimmu.2024.1441667,pending,Frontiers Immunol,Improving efficacy of TNBC immunotherapy via immune microenvironment subtyping,pending,"TME as ICI resistance mechanism; PMCID: PMC11487198; review article (corrected from Tier 2)"
Biomarker annotations (cross-cutting),1,KEYNOTE-355 CPS>=10,2022,Tier 1,"PD-L1 CPS>=10 defines pembrolizumab-eligible population; CPS 1-9 no significant benefit in metastatic setting",10.1056/NEJMoa2202809,35857659,N Engl J Med,Pembrolizumab plus Chemotherapy in Advanced Triple-Negative Breast Cancer,Cortes J; et al,"FDA-mandated but imperfect"
Biomarker annotations (cross-cutting),1,OlympiAD + EMBRACA (BRCA1/2),2017-2018,Tier 1,"gBRCA1/2 mutations define PARPi-eligible subset (~5-10% of TNBC)",10.1056/NEJMoa1706450 / 10.1056/NEJMoa1802905,28578601 / 30110579,N Engl J Med,Olaparib / Talazoparib in gBRCA-Mutated Breast Cancer,Robson M; et al / Litton JK; et al,"Companion diagnostic required"
Biomarker annotations (cross-cutting),4,Lehmann et al. JCI 2011 + refinement 2016,2011/2016,Tier 4,"6→4-subtype TNBC classification (BL1/BL2/M/LAR); BL1 highest pCR (65.6%); LAR androgen-receptor-driven with distinct therapeutic implications",10.1172/JCI45014 / 10.1371/journal.pone.0157368,21633166 / 27310713,J Clin Invest / PLoS One,TNBC Subtypes and Preclinical Models / Refinement of TNBC Molecular Subtypes,Lehmann BD; et al,"Not yet SOC but increasingly used in trial design; BL1 and LAR most clinically actionable"
Biomarker annotations (cross-cutting),4,FUTURE trial,2024,Tier 4,"Subtype-guided treatment in metastatic TNBC improved PFS; first prospective subtype-guided trial",10.20892/j.issn.2095-3941.2024.0009,pending,Cancer Biol Med,FUTURE phase II umbrella clinical trial,pending,"NCT03805399; promising but small"
